==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:25:39
==============================================================
  File              : logs\echo_2026-05-17_14-25-39.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:25:54.009] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.9 risk=0.73
[14:25:54.025] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.8 risk=0.73
[14:25:54.043] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.8 risk=0.73
[14:25:54.067] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.7 risk=0.73
[14:25:54.084] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.7 risk=0.73
[14:25:54.101] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.6 risk=0.73
[14:25:54.117] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.6 risk=0.73
[14:25:54.117] [STATE_CHANGE        ] ECHO-05  | WANDER (6.3s) -> SEEK_FOOD  [normal]  h=55 e=48 s=26
[14:25:54.134] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.5 risk=0.73
[14:25:54.151] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.5 risk=0.73
[14:25:54.168] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.4 risk=0.73
[14:25:54.185] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.4 risk=0.73
[14:25:54.202] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.3 risk=0.73
[14:25:54.218] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.3 risk=0.73
[14:25:54.235] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.2 risk=0.73
[14:25:54.251] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.2 risk=0.73
[14:25:54.267] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.2 risk=0.73
[14:25:54.284] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.1 risk=0.73
[14:25:54.301] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.1 risk=0.73
[14:25:54.317] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.0 risk=0.73
[14:25:54.333] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=14.0 risk=0.73
[14:25:54.349] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.9 risk=0.73
[14:25:54.365] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.9 risk=0.73
[14:25:54.382] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.8 risk=0.73
[14:25:54.399] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.8 risk=0.73
[14:25:54.416] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.7 risk=0.73
[14:25:54.432] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.7 risk=0.73
[14:25:54.449] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.6 risk=0.73
