==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:40:52
==============================================================
  File              : logs\echo_2026-05-17_14-40-52.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:40:54.738] [STATE_CHANGE        ] ECHO-01  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=56 e=60 s=53
[14:40:55.893] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.894] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.908] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.909] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.909] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.909] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.924] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.924] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.925] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.926] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.940] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.942] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.943] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.944] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.957] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.959] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.960] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.961] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.973] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.974] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.974] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.974] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.990] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.991] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.992] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.992] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.007] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.008] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.010] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.011] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.024] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.025] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.026] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.027] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.041] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.043] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.044] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.046] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.058] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.059] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.061] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.061] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.075] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.077] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.077] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.077] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.091] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.092] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.092] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.093] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.108] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.109] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.110] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.110] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
